,budget,gross,profit,votes,IMDb score,clusters,cluster
354,8000000.0,108423749.0,100423749.0,57000.0,7.4,0,salmon colored
355,10000000.0,29450919.0,19450919.0,34000.0,6.5,0,salmon colored
356,36000000.0,55432841.0,19432841.0,63000.0,6.2,0,salmon colored
357,3300000.0,20653717.0,17353717.0,134000.0,7.9,0,salmon colored
358,5000000.0,21156152.0,16156152.0,41000.0,6.1,0,salmon colored
359,22000000.0,67642693.0,45642693.0,42000.0,6.6,0,salmon colored
360,20500000.0,5988322.0,-14511678.0,24000.0,6.7,0,salmon colored
361,20500000.0,64783827.0,44283827.0,22000.0,6.6,0,salmon colored
362,22000000.0,42313354.0,20313354.0,18000.0,6.4,0,salmon colored
363,7500000.0,19910002.0,12410002.0,8700.0,5.9,0,salmon colored
364,5000000.0,34725000.0,29725000.0,25000.0,6.5,0,salmon colored
365,20500000.0,5899678.0,-14600322.0,22000.0,7.4,0,salmon colored
366,20500000.0,9190819.0,-11309181.0,14000.0,7.2,0,salmon colored
367,10000000.0,35615609.0,25615609.0,19000.0,7.2,0,salmon colored
368,5600000.0,17233166.0,11633166.0,16000.0,5.9,0,salmon colored
369,11000000.0,4218594.0,-6781406.0,11000.0,5.7,0,salmon colored
370,20500000.0,22587834.0,2087834.0,3300.0,5.2,0,salmon colored
